Scheme Name,Net Asset Value 
HSBC Banking and PSU Debt Fund - Regular Daily IDCW,11.1160 
HSBC Banking and PSU Debt Fund - Regular Growth,20.8999 
HSBC Banking and PSU Debt Fund - Regular Monthly IDCW,10.8235 
HSBC Banking and PSU Debt Fund - Regular Weekly IDCW,10.3358 
ICICI Prudential Banking and PSU Debt Fund -  Daily IDCW,10.0549 
ICICI Prudential Banking and PSU Debt Fund -  Weekly IDCW,10.2427 
ICICI Prudential Banking and PSU Debt Fund - Bonus,15.8889 
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Daily IDCW,10.2538 
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth,28.8549 
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Quarterly IDCW,12.7266 
ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Weekly IDCW,10.3708 
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus,13.8665 
ICICI Prudential Banking and PSU Debt Fund - Direct Plan Half Yearly IDCW Option,13.1098 
ICICI Prudential Banking and PSU Debt Fund - Growth,27.8812 
ICICI Prudential Banking and PSU Debt Fund - Quarterly IDCW,10.7877 
ICICI Prudential Banking and PSU Debt Fund Half Yearly IDCW Option,12.9261 
ICICI Prudential Banking and PSU Debt Fund Retail Daily Dividend,10.0122 
ICICI Prudential Banking and PSU Debt Fund Retail Growth,21.631 
ICICI Prudential Banking and PSU Debt Fund Retail Weekly Dividend,10.3305 
Invesco India Banking & PSU Debt Fund - Daily IDCW (Reinvestment),1010.6967 
Invesco India Banking & PSU Debt Fund - Direct Plan -  Growth Option,2059.8337 
Invesco India Banking & PSU Debt Fund - Direct Plan - Daily IDCW (Reinvestment),1032.2094 
Invesco India Banking & PSU Debt Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment),1014.2844 
Invesco India Banking & PSU Debt Fund - Growth Option,1937.4249 
Invesco India Banking & PSU Debt Fund - Monthly IDCW (Payout / Reinvestment),1033.9688 
ITI Banking & PSU Debt Fund - Direct Plan - Growth Option,11.3606 
ITI Banking & PSU Debt Fund - Direct Plan - IDCW Option,11.3606 
ITI Banking & PSU Debt Fund - Regular Plan - Growth Option,11.2017 
ITI Banking & PSU Debt Fund - Regular Plan - IDCW Option,11.2017 
Kotak Banking and PSU Debt - Annual Dividend,16.1842 
Kotak Banking and PSU Debt - Daily Dividend Reinvestment,10.188 
Kotak Banking and PSU Debt - Direct Daily Dividend Reinvestment,10.2604 
Kotak Banking and PSU Debt - Growth,55.8676 
Kotak Banking and PSU Debt - Monthly Payout of Income Distribution cum capital withdrawal option,10.4962 
Kotak Banking and PSU Debt Direct - Annual Dividend,17.1427 
Kotak Banking and PSU Debt Direct - Growth,57.7189 
Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option,10.2645 
LIC MF Banking & PSU Debt Fund-Direct Plan-Daily IDCW,12.8834 
LIC MF Banking & PSU Debt Fund-Direct Plan-Growth,31.8408 
LIC MF Banking & PSU Debt Fund-Direct Plan-Monthly IDCW,11.9917 
LIC MF Banking & PSU Debt Fund-Direct Plan-Weekly IDCW,10.0725 
LIC MF Banking & PSU Debt Fund-Regular Plan-Daily IDCW,10.8899 
LIC MF Banking & PSU Debt Fund-Regular Plan-Growth,29.8442 
LIC MF Banking & PSU Debt Fund-Regular Plan-Monthly IDCW,11.1696 
LIC MF Banking & PSU Debt Fund-Regular Plan-Weekly IDCW,10.0696 
Mirae Asset Banking and PSU Debt Fund Direct Growth,11.2845 
Mirae Asset Banking and PSU Debt Fund Direct IDCW,11.2842 
Mirae Asset Banking and PSU Debt Fund Regular Growth Plan,11.1445 
Mirae Asset Banking and PSU Debt Fund Regular IDCW,11.1454 
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Bonus Option,18.2847 
Nippon India Banking  & PSU Debt Fund- Direct Plan-Growth Plan- Growth Option,18.2845 
Nippon India Banking  & PSU Debt Fund- Growth Plan- Bonus Option,12.3452 
Nippon India Banking  & PSU Debt Fund- Growth Plan- Growth Option,17.7661 
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - IDCW Option,18.2845 
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - MONTHLY IDCW Option,10.7202 
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - QUARTERLY IDCW Option,10.8457 
NIPPON INDIA BANKING & PSU DEBT FUND - Direct Plan - WEEKLY IDCW Option,10.2746 
NIPPON INDIA BANKING & PSU DEBT FUND - IDCW Option,17.7661 
NIPPON INDIA BANKING & PSU DEBT FUND - MONTHLY IDCW Option,10.6547 
NIPPON INDIA BANKING & PSU DEBT FUND - QUARTERLY IDCW Option,10.7904 
NIPPON INDIA BANKING & PSU DEBT FUND - WEEKLY IDCW Option,10.2756 
PGIM India Banking and PSU Debt fund - Bonus,13.3974 
PGIM India Banking and PSU Debt Fund - Direct Plan - Regular Dividend,10.2246 
PGIM India Banking and PSU Debt fund - Monthly Dividend,10.7742 
PGIM India Banking and PSU Debt fund - Quarterly Bonus,11.6111 
PGIM India Banking and PSU Debt fund - Quarterly Dividend,10.6427 
PGIM India Banking and PSU Debt Fund - Regular Dividend,10.213 
PGIM India Banking and PSU Debt fund - Weekly Dividend,10.2735 
PGIM India Banking and PSU Debt fund -Growth,20.8969 
PGIM India Banking and PSU Debt fund- Direct Plan-  Quarterly Bonus,13.6246 
PGIM India Banking and PSU Debt fund- Direct Plan-  Regular Bonus,15.2364 
PGIM India Banking and PSU Debt fund- Direct Plan- Annual Dividend,11.0995 
PGIM India Banking and PSU Debt fund- Direct Plan- Monthly Dividend,10.9284 
PGIM India Banking and PSU Debt fund- Direct Plan- Quarterly Dividend,10.7036 
PGIM India Banking and PSU Debt fund- Direct Plan- Weekly Dividend,10.2259 
PGIM India Banking and PSU Debt fund- Direct Plan-Growth,21.8923 
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1239.7446 
SBI BANKING & PSU FUND - Direct Plan - Growth,2814.5770 
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1202.8640 
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1236.9897 
SBI BANKING & PSU FUND - Regular Paln - Growth,2674.1567 
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW),1220.0258 
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW),1144.6512 
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW),1219.7700 
Sundaram Banking & PSU Debt Fund - Direct Growth,11.7065 
Sundaram Banking & PSU Debt Fund - Direct Monthly Dividend,11.4008 
Sundaram Banking & PSU Debt Fund - Direct Quarterly Dividend,10.6356 
Sundaram Banking & PSU Debt Fund - Regular Annual Bonus,11.6319 
Sundaram Banking & PSU Debt Fund - Regular Growth,11.6493 
Sundaram Banking & PSU Debt Fund - Regular Monthly Dividend,11.1411 
Sundaram Banking & PSU Debt Fund - Regular Quarterly Bonus,11.1681 
Sundaram Banking & PSU Debt Fund - Regular Weekly Dividend,10.1418 
Sundaram Banking & PSU Debt Fund Regular Quarterly Dividend,11.0236 
Sundaram Banking and PSU Debt Fund Direct Plan - Bonus,18.5853 
Sundaram Banking and PSU Debt Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW),10.2300 
